Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Bag/Case closure (product.metafields.shopify.bag-case-closure),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Band strength (product.metafields.shopify.band-strength),Blade material (product.metafields.shopify.blade-material),Board material (product.metafields.shopify.board-material),Board mounting type (product.metafields.shopify.board-mounting-type),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Corrector features (product.metafields.shopify.corrector-features),Desk organizer features (product.metafields.shopify.desk-organizer-features),Envelope features (product.metafields.shopify.envelope-features),Fabric (product.metafields.shopify.fabric),Frame design (product.metafields.shopify.frame-design),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Hardware material (product.metafields.shopify.hardware-material),Ink color (product.metafields.shopify.ink-color),Lead grade (product.metafields.shopify.lead-grade),Marker tip design (product.metafields.shopify.marker-tip-design),Material (product.metafields.shopify.material),Office instrument material (product.metafields.shopify.office-instrument-material),Office supply material (product.metafields.shopify.office-supply-material),Paper size (product.metafields.shopify.paper-size),Paper type (product.metafields.shopify.paper-type),Pen color (product.metafields.shopify.pen-color),Presentation supply features (product.metafields.shopify.presentation-supply-features),Shape (product.metafields.shopify.shape),Spinner type (product.metafields.shopify.spinner-type),Stapler features (product.metafields.shopify.stapler-features),Suitcase handle type (product.metafields.shopify.suitcase-handle-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Status
filling-file-cabinet,Filling File Cabinet,"<ul>
<li data-section-id=""1krnxwq"" data-start=""1285"" data-end=""1337"">Durable all-steel construction for long-term use</li>
<li data-section-id=""1rfp985"" data-start=""1338"" data-end=""1396"">Double glass doors for easy visibility of stored items</li>
<li data-section-id=""m5lyo3"" data-start=""1397"" data-end=""1442"">Secure locking system with key for safety</li>
<li data-section-id=""f1tqxt"" data-start=""1443"" data-end=""1496"">Adjustable shelves for customizable storage space</li>
<li data-section-id=""1w5j5zf"" data-start=""1497"" data-end=""1534"">Smooth, easy-to-open hinged doors</li>
<li data-section-id=""jl44sa"" data-start=""1535"" data-end=""1589"">Powder-coated finish for rust and scratch resistance</li>
</ul>",Original,Furniture > Cabinets & Storage > File Cabinets,storage,"Best Seller, Office Supplies, Original, storage, Storage Systems",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,45.000,55.000,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Almira_8e3c5c06-1135-4bd6-8800-de5a29efa4c2.jpg?v=1776446085,1,"",false,,,463,,,,,,,,,,,,,,,,,,,,,,,black; gray,,,,,,steel,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
filling-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Almira4_9c82f9eb-c72f-44dc-a131-13e36b3927b6.jpg?v=1776446085,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filling-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/IMG_7684.jpg?v=1776446085,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filling-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Almira3_0ac92e77-e252-4bcd-9ed1-3d552b198098.jpg?v=1776446085,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filling-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Almira2.jpg?v=1776446085,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-drawer-metal-file-cabinet,3 Drawer Metal File Cabinet,"<p><strong data-start=""169"" data-end=""200"">3-Drawer Metal File Cabinet</strong> is a practical and durable filing solution designed to provide organized document storage while maintaining a compact footprint. It is ideal for offices, schools, clinics, and home workspaces that require moderate storage capacity without occupying too much floor space.</p>",Original,Furniture > Cabinets & Storage > File Cabinets,cabinet,"Office Supplies, Original",true,Title,Default Title,,,,,,,,,0.0,shopify,19,deny,manual,35.000,45.000,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/3drawer1_abe087ca-b5f4-4b20-9e8f-4668a5e4a0ec.jpg?v=1776446176,1,"",false,,,463,,,,,,,,,,,,,,,,,,,,,,,white; gray,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
3-drawer-metal-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Drawer_3_b706c14e-cedf-4caf-9b06-9887319fe26c.jpg?v=1776446176,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-drawer-metal-file-cabinet,2 Drawer Metal File Cabinet,"<p><strong data-start=""223"" data-end=""254"">2-Drawer Metal File Cabinet</strong> is a compact and durable storage solution designed to keep important documents organized while saving floor space. Ideal for offices, home workstations, and small business environments, this cabinet provides secure and efficient filing for everyday administrative needs.</p>",Original,Furniture > Cabinets & Storage > File Cabinets,cabinet,"Brands, Desk Accessories, Office Supplies, Original, STAPLERS & ACCESSORIES",true,Title,Default Title,,,,,,,,,0.0,shopify,19,deny,manual,25.000,35.000,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/2Drawer.jpg?v=1774948476,1,"",false,,,463,,,,,,,,,,,,,,,,,,,,,,,beige; gray,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
2-drawer-metal-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/2_Drawer_2nd.jpg?v=1774948501,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-drawer-metal-file-cabinet,4 Drawer Metal File Cabinet,"<p><strong data-start=""216"" data-end=""247"">4 Drawer Metal File Cabinet</strong> is a durable and space-efficient storage solution designed to keep documents organized, secure, and easily accessible in offices, schools, and home workspaces. Constructed from high-quality cold-rolled steel, the cabinet offers long-lasting strength, resistance to corrosion, and reliable daily performance.</p>",Original,Furniture > Cabinets & Storage > File Cabinets,cabinet,"Desk Accessories, Office Supplies, Original",true,Title,Default Title,,,,,,,,,0.0,shopify,19,deny,manual,40.000,50.000,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsAppImage2026-03-29at11.17.32AM_e8dce9b9-e3e8-4882-ab7f-2a9cd2e56415.jpg?v=1776446820,1,"",false,,,463,,,,,,,,,,,,,,,,,,,,,,,beige; silver; gray,,,,,,steel,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
4-drawer-metal-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2026-03-29_at_11.18.10_AM_978f296f-1b33-41f2-92f6-cb5c2558adb6.jpg?v=1776446820,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-drawer-metal-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2026-03-29_at_11.17.59_AM.jpg?v=1776446820,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ik-signature-100-gsm-a3-photocopy-paper-premium-quality-for-professional-results,IK Signature 100 GSM A3 Photocopy Paper – Premium Quality for Professional Results,"<p><strong data-start=""431"" data-end=""446"">Paper Size:</strong> A3</p>
<p><strong data-start=""454"" data-end=""465"">Weight:</strong> 100 GSM (grams per square meter)</p>
<p><strong data-start=""503"" data-end=""516"">Quantity:</strong> 1 carton containing 4 reams (500 sheets per ream)</p>
<p><strong data-start=""571"" data-end=""584"">Features:</strong> Smooth finish, jam-free performance, ideal for laser printers, inkjet printers, and photocopiers<br><strong></strong></p>
<p><strong>Origin - Indonesia</strong><br></p>",APP,Office Supplies > General Office Supplies > Paper Products > Printer & Copier Paper,Paper,"PAPER, Photo Paper",true,Packing,Carton,,,,,,,,501 405,0.0,shopify,50,deny,manual,22.000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsAppImage2026-03-24at09.44.00_78526d07-d219-48b4-8a70-ebea926f1d69.jpg?v=1774334914,1,"",false,,,962,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
ik-signature-100-gsm-a3-photocopy-paper-premium-quality-for-professional-results,,,,,,,,,Ream,,,,,,,,501 406,0.0,shopify,200,deny,manual,5.500,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2026-03-24_at_09.45.03_717bf357-7fb6-4ec3-b745-e992ec5a98dd.jpg?v=1774334928,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
ik-signature-100-gsm-photocopy-paper-premium-quality-for-professional-results,IK Signature 100 GSM Photocopy Paper – Premium Quality for Professional Results,"<p>Paper Size<strong data-start=""664"" data-end=""679"">:</strong> A4 (21 × 29.7 cm)</p>
<p>Weight: 100 GSM – thicker and stronger than standard office paper</p>
<p>Packaging: 1 carton = 4 reams </p>
<p>Smooth, bright white surface for sharp text and vibrant images</p>
<p>Suitable for laser printers, inkjet printers, and photocopiers</p>
<p><strong>Origin - Indonesia</strong></p>",APP,Office Supplies > General Office Supplies > Paper Products > Printer & Copier Paper,Paper,"PAPER, Photo Paper, Premium Paper",true,Packing,Carton,,,,,,,,501 404,0.0,shopify,100,deny,manual,11.000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsAppImage2026-03-24at08.55.34_1.jpg?v=1774331854,1,"",false,,,962,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsAppImage2026-03-24at08.55.34_1.jpg?v=1774331854,kg,,,true,,,active
ik-signature-100-gsm-photocopy-paper-premium-quality-for-professional-results,,,,,,,,,Ream,,,,,,,,501 404,0.0,shopify,400,deny,manual,2.750,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2026-03-24_at_08.55.34.jpg?v=1774331868,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
ik-signature-100-gsm-photocopy-paper-premium-quality-for-professional-results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2026-03-24_at_08.55.34_2.jpg?v=1774331876,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original-desktop-set-black-set-of-11,ORIGINAL-DESKTOP SET BLACK - SET OF 8,"<p data-start=""394"" data-end=""539""><strong data-start=""394"" data-end=""420"">Complete Executive Set</strong> – Includes desk pad, letter tray, pen holder, memo holder, card holder, accessory boxes, and a matching letter opener.</p>
<p data-start=""394"" data-end=""539""><strong data-start=""542"" data-end=""560"">Premium Finish</strong> – Smooth black leather exterior with contrasting white stitching for a refined look.</p>
<p data-start=""648"" data-end=""736""><strong data-start=""648"" data-end=""672"">Soft Interior Lining</strong> – Velvet-style inner lining protects documents and accessories.</p>
<p data-start=""739"" data-end=""807""><strong data-start=""739"" data-end=""758"">Elegant Details</strong> – Subtle gold-tone accents add a touch of class.</p>
<p data-start=""739"" data-end=""807""><strong data-start=""810"" data-end=""833"">Professional Design</strong> – Perfect for executive desks, corporate offices, and home workspaces.</p>",Original,Office Supplies > Filing & Organization > Desk Organizers > Desktop Organizers,Desktop Set,Desk Accessories,true,Title,Default Title,,,,,,,,064 3008,0.0,shopify,0,deny,manual,22.000,35.000,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/ChatGPTImageFeb15_2026_11_57_57AM.png?v=1771146306,1,"",false,,,939,,,,,,,,,,,,,,,,,,,,,,,black,,built-in-compartments; multiple-compartments; slots,,,,,,,,,faux-leather; velvet; metal,,,,,,,,,,,,,,,,,kg,,,true,,,active
original-desktop-set-black-set-of-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2026-02-15_at_10.29.24_AM.jpg?v=1771146306,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navy-blue-id-lanyard-with-secure-clip-navy-blue,Original Navy Blue ID Lanyard with Secure Clip Navy Blue,"<h3 data-start=""192"" data-end=""215"">Lanyard</h3>
<p data-start=""217"" data-end=""513"">This high-quality lanyard is designed for everyday professional use, combining durability, comfort, and a sleek appearance. Made from premium fabric, it is lightweight yet strong, ensuring long-lasting performance. The smooth finish allows for comfortable wear around the neck throughout the day.</p>
<p data-start=""515"" data-end=""787"">The lanyard features a sturdy metal hook for secure attachment of ID cards, access badges, or keys. Its customizable surface makes it ideal for logo printing, branding, or company identification, making it perfect for corporate offices, events, exhibitions, and staff use.</p>
<p data-start=""789"" data-end=""806""><strong data-start=""789"" data-end=""806"">Key Features:</strong></p>
<ul data-start=""807"" data-end=""994"">
<li data-start=""807"" data-end=""843"">
<p data-start=""809"" data-end=""843"">Durable and lightweight material</p>
</li>
<li data-start=""844"" data-end=""876"">
<p data-start=""846"" data-end=""876"">Comfortable for all-day wear</p>
</li>
<li data-start=""877"" data-end=""917"">
<p data-start=""879"" data-end=""917"">Strong metal hook for secure holding</p>
</li>
<li data-start=""918"" data-end=""958"">
<p data-start=""920"" data-end=""958"">Ideal for ID cards, keys, and badges</p>
</li>
<li data-start=""959"" data-end=""994"">
<p data-start=""961"" data-end=""994"">Customizable with logos or text</p>
</li>
</ul>",Original®,Apparel & Accessories > Handbag & Wallet Accessories > Lanyards,Menu Display ID Lanyard,"",true,Title,Default Title,,,,,,,,,0.0,shopify,495,deny,manual,0.550,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/ChatGPT_Image_Dec_17_2025_10_26_32_AM.png?v=1765957867,1,"",false,,,6277,,,,,,,,,,,,,,,,,,,,,,,navy,,,,,,,,,,,,,,,,,,,,,,unisex,,,,,,kg,,,true,,,active
navy-blue-id-lanyard-with-secure-clip-navy-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/ChatGPT_Image_Dec_17_2025_10_50_51_AM.png?v=1765957874,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
special-combo-offer-paper-one-green-a4-80-gsm,Special Combo Offer Paper One Green A4 80 GSM,"<p><strong>Special Offer – Limited Time Only!</strong><br>Get <strong>Paper One Green A4 Copy Paper (80 GSM)</strong> at an unbeatable price.</p>
<ul>
<li>Pack size: <strong>5 cartons</strong>
</li>
<li>Price: <strong>Just 23 KWD</strong>
</li>
<li>Minimum order: <strong>5 cartons</strong>
</li>
</ul>
<p>Perfect for offices, schools, and bulk buyers looking for premium-quality printing paper at the best value. Don’t miss this exclusive deal—stock up while supplies last!</p>",April Paper,Office Supplies > General Office Supplies > Paper Products > Printer & Copier Paper,Paper,"APRIL PAPER, Limited time offers, OFFERS",true,Combo Offer,5 Carton,,,,,,,,,0.0,shopify,46,continue,manual,23.000,30.000,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Newtemp_b80ee72f-d883-467d-a928-441b5a01a060.png?v=1764759784,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
captain-paper-a4-70-gsm-photocopy-paper,Captain Paper A4 70 GSM Photocopy Paper,"<p data-start=""79"" data-end=""459"">Captain Paper is a high-quality multipurpose copy paper designed for smooth and reliable everyday printing. With its perfect thickness of 70 GSM, it ensures crisp and clear results whether used in laser printers, inkjet printers, or photocopiers. The bright white finish enhances readability, making it ideal for both professional and personal use.</p>
<p data-start=""463"" data-end=""492""><strong data-start=""463"" data-end=""472"">Size:</strong> A4 (210 × 297 mm)</p>
<p data-start=""495"" data-end=""515""><strong data-start=""495"" data-end=""506"">Weight:</strong> 70 GSM</p>
<p data-start=""518"" data-end=""543""><strong data-start=""518"" data-end=""528"">Color:</strong> Bright White</p>
<p data-start=""546"" data-end=""601""><strong data-start=""546"" data-end=""556"">Usage:</strong> Suitable for printing, copying, and faxing</p>
<p data-start=""604"" data-end=""623""><strong data-start=""604"" data-end=""621"">Key Features:</strong></p>
<p data-start=""628"" data-end=""663"">Smooth surface for sharp printing</p>
<p data-start=""668"" data-end=""690"">Jam-free performance</p>
<p data-start=""695"" data-end=""732"">Compatible with all office machines</p>
<p data-start=""737"" data-end=""786"">Ideal for bulk printing and everyday office use</p>",Ittihad Paper Mill,Office Supplies > General Office Supplies > Paper Products > Printer & Copier Paper,Paper,"Brands, Office Supplies, PAPER, photocopy paper, Premium Paper",true,Packing,Carton,,,,,,,,,0.0,shopify,-35,continue,manual,4.250,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Captain-Copy-cover_6e797e1f-ab74-4d7f-ad5d-f1178b8c24dd.jpg?v=1758966707,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Captain-Copy-cover_6e797e1f-ab74-4d7f-ad5d-f1178b8c24dd.jpg?v=1758966707,kg,,,true,,,active
captain-paper-a4-70-gsm-photocopy-paper,,,,,,,,,Ream,,,,,,,,,0.0,shopify,144,continue,manual,0.900,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Captain-Copy-bundle_130d0656-fe26-409f-87b7-08840d9cce70.jpg?v=1758966707,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Captain-Copy-bundle_130d0656-fe26-409f-87b7-08840d9cce70.jpg?v=1758966707,kg,,,,,,
paper-one-digital-a4-100-gsm-premium-photocopy-paper,Paper one Digital A4 100 GSM Premium Photocopy Paper,"<p data-start=""220"" data-end=""513"">PaperOne™ Digital is a high-performance premium paper designed for professional, high-resolution digital printing. With a weight of 100 GSM, it delivers excellent print clarity and vibrant color reproduction. This carton contains <strong data-start=""450"" data-end=""461"">4 reams</strong>, each with <strong data-start=""473"" data-end=""487"">500 sheets</strong> of ultra-smooth A4 paper.</p>
<p data-start=""515"" data-end=""528""><strong data-start=""515"" data-end=""528""><span>Specifications</span>:</strong></p>
<p data-start=""532"" data-end=""561""><strong data-start=""532"" data-end=""541"">Size:</strong> A4 (210 x 297 mm)</p>
<p data-start=""564"" data-end=""619""><strong data-start=""564"" data-end=""575"">Weight:</strong> 100 GSM – ideal for double-sided printing</p>
<p data-start=""622"" data-end=""671""><strong data-start=""622"" data-end=""635"">Quantity:</strong> 4 Reams / 2,000 Sheets per Carton</p>
<p data-start=""674"" data-end=""740""><strong data-start=""674"" data-end=""689"">Brightness:</strong> High whiteness (ISO 98+) for sharp, clear output</p>
<p data-start=""674"" data-end=""740""><strong data-start=""743"" data-end=""758"">Technology:</strong> ProDigi™ HD Print Technology for enhanced ink/toner absorption</p>
<p data-start=""826"" data-end=""903""><strong data-start=""826"" data-end=""852"">Printer Compatibility:</strong> Suitable for laser, inkjet, and digital printers</p>
<p data-start=""906"" data-end=""972""><strong data-start=""906"" data-end=""917"">Finish:</strong> Ultra-smooth surface for professional quality prints</p>
<p data-start=""906"" data-end=""972""><strong data-start=""975"" data-end=""992"">Eco-Friendly:</strong> PEFC™ certified for sustainable sourcing</p>",April Paper,Office Supplies > General Office Supplies > Paper Products > Printer & Copier Paper,Paper,"APRIL PAPER, Best Seller, Brands, PaperOne, photocopy paper",true,Packing,Carton,,,,,,,,501 253,0.0,shopify,47,continue,manual,10.000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Digital.jpg?v=1758553133,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,red; white,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Digital.jpg?v=1758553133,kg,,,true,,,active
